Nombre_de_la_fuente,Tema,Subtema,Subtema_especifico,Tipo_de_fuente,Año_referencia,Tipo,Nivel_de_desagregación,URL,Institucion,Cont_inf_indigena,Notas,categoria
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2012,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2012/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2014,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2014/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2008,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2008/#microdatos,INEGI,,Serie anterior nueva construcción,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2010,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2010/#microdatos,INEGI,,Serie anterior nueva construcción,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2012,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2012/#microdatos,INEGI,,Serie anterior nueva construcción,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2014,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2014/#microdatos,INEGI,,Serie anterior nueva construcción,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2016,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2016/#microdatos,INEGI,,Serie actual,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2018,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2018/#microdatos,INEGI,,Serie actual,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2020,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2020/#microdatos,INEGI,,Serie actual,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2022,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2022/#microdatos,INEGI,,Serie actual,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2024,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/nc/2024/#microdatos,INEGI,,Serie actual,Demografía y Sociedad
"Censo Agrícola, Ganadero y Forestal (CAGF) ",Agricultura ganadería y pesca,,,Censo,2007,Regular,Nacional > Estatal > Municipal,https://www.inegi.org.mx/programas/cagf/2007/#microdatos,INEGI,"HLI del productor, cónyuge y padres","HLI del productor, cónyuge y padres en P.148–150 (cuestionario). Programas de apoyo indígenas en P.118  .1.21 y 1.23 (cuestionario). Tabulados en sección 11. Datos abiertos disponibles. Microdatos bajo solicitud.",Economía y Sectores Productivos
Censo Agropecuario (CA) ,Agricultura ganadería y pesca,"Agricultura, Ganadería",,Censo,2022,Regular,Nacional > Estatal > Municipal,https://www.inegi.org.mx/programas/ca/2022/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01) y autoadscripción indígena y afromexicana (SD115). Presentes en los 3 cuestionarios (Básico, Ampliado y Forestal). Datos abiertos disponibles. Microdatos bajo solicitud.",Economía y Sectores Productivos
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2012,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2012/#microdatos,INEGI,HLI del productor,"HLI del productor en P.50.1, Sección XII. Sin autoadscripción (cuestionario). Datos abiertos disponibles. Microdatos bajo solicitud.",Economía y Sectores Productivos
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2014,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2014/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01), autoadscripción indígena (SD115) y dialecto (SD115_02), Sección XI. Presentes el cuestionario básico. Datos abiertos disponibles. Microdatos bajo solicitud.",Economía y Sectores Productivos
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2017,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2017/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01), autoadscripción indígena (SD115), Sección XVI. Presentes el cuestionario básico.Datos abiertos disponibles. Microdatos bajo solicitud.",Economía y Sectores Productivos
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2019,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2019/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01),  autoadscripción indígena (SD115), Sección XV. Presentes en el cuestionario. Datos abiertos disponibles. Microdatos bajo solicitud.",Economía y Sectores Productivos
"Censo Agrícola, Ganadero y Forestal (CAGF) ",Agricultura ganadería y pesca,,,Censo,2007,Regular,Nacional > Estatal > Municipal,https://www.inegi.org.mx/programas/cagf/2007/#microdatos,INEGI,"HLI del productor, cónyuge y padres","HLI del productor, cónyuge y padres en P.148–150 (cuestionario). Programas de apoyo indígenas en P.118  .1.21 y 1.23 (cuestionario). Tabulados en sección 11. Datos abiertos disponibles. Microdatos bajo solicitud.",Geografía y Medio Ambiente
Censo Agropecuario (CA) ,Agricultura ganadería y pesca,"Agricultura, Ganadería",,Censo,2022,Regular,Nacional > Estatal > Municipal,https://www.inegi.org.mx/programas/ca/2022/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01) y autoadscripción indígena y afromexicana (SD115). Presentes en los 3 cuestionarios (Básico, Ampliado y Forestal). Datos abiertos disponibles. Microdatos bajo solicitud.",Geografía y Medio Ambiente
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2012,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2012/#microdatos,INEGI,HLI del productor,"HLI del productor en P.50.1, Sección XII. Sin autoadscripción (cuestionario). Datos abiertos disponibles. Microdatos bajo solicitud.",Geografía y Medio Ambiente
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2014,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2014/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01), autoadscripción indígena (SD115) y dialecto (SD115_02), Sección XI. Presentes el cuestionario básico. Datos abiertos disponibles. Microdatos bajo solicitud.",Geografía y Medio Ambiente
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2017,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2017/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01), autoadscripción indígena (SD115), Sección XVI. Presentes el cuestionario básico.Datos abiertos disponibles. Microdatos bajo solicitud.",Geografía y Medio Ambiente
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2019,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2019/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01),  autoadscripción indígena (SD115), Sección XV. Presentes en el cuestionario. Datos abiertos disponibles. Microdatos bajo solicitud.",Geografía y Medio Ambiente
"Censo Agrícola, Ganadero y Forestal (CAGF) ",Agricultura ganadería y pesca,,,Censo,2007,Regular,Nacional > Estatal > Municipal,https://www.inegi.org.mx/programas/cagf/2007/#microdatos,INEGI,"HLI del productor, cónyuge y padres","HLI del productor, cónyuge y padres en P.148–150 (cuestionario). Programas de apoyo indígenas en P.118  .1.21 y 1.23 (cuestionario). Tabulados en sección 11. Datos abiertos disponibles. Microdatos bajo solicitud.","Gobierno, Seguridad y Justicia"
Censo Agropecuario (CA) ,Agricultura ganadería y pesca,"Agricultura, Ganadería",,Censo,2022,Regular,Nacional > Estatal > Municipal,https://www.inegi.org.mx/programas/ca/2022/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01) y autoadscripción indígena y afromexicana (SD115). Presentes en los 3 cuestionarios (Básico, Ampliado y Forestal). Datos abiertos disponibles. Microdatos bajo solicitud.","Gobierno, Seguridad y Justicia"
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2012,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2012/#microdatos,INEGI,HLI del productor,"HLI del productor en P.50.1, Sección XII. Sin autoadscripción (cuestionario). Datos abiertos disponibles. Microdatos bajo solicitud.","Gobierno, Seguridad y Justicia"
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2014,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2014/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01), autoadscripción indígena (SD115) y dialecto (SD115_02), Sección XI. Presentes el cuestionario básico. Datos abiertos disponibles. Microdatos bajo solicitud.","Gobierno, Seguridad y Justicia"
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2017,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2017/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01), autoadscripción indígena (SD115), Sección XVI. Presentes el cuestionario básico.Datos abiertos disponibles. Microdatos bajo solicitud.","Gobierno, Seguridad y Justicia"
Encuesta Nacional Agropecuaria (ENA) ,Agricultura ganadería y pesca,,,Encuesta,2019,Especial,Nacional > Estatal ,https://www.inegi.org.mx/programas/ena/2019/#microdatos,INEGI,HLI y autoadscripción del productor,"HLI (SD115_01),  autoadscripción indígena (SD115), Sección XV. Presentes en el cuestionario. Datos abiertos disponibles. Microdatos bajo solicitud.","Gobierno, Seguridad y Justicia"
